conversation_id,tweet_id,created_at,username,full_text,like_count,retweet_count,reply_count,is_quote_status,user_followers,lang,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 08:49:44 +0000 2025,etaCepot,@Dandhy_Laksono @tempodotco @jokowi Setuju 👍🏻,0,0,0,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 08:46:58 +0000 2025,_fendy_,@tempodotco Hutan sudah dibabat habis.,0,0,0,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 08:46:34 +0000 2025,caisimz,"@tempodotco INI JELAS MERUGIKAN NEGARA, BISA DONG MASUK PENJARA",0,0,0,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 08:44:59 +0000 2025,nurhali20364872,@anakodok2009 @tempodotco Buta? https://t.co/McCzJqUPHR,0,0,0,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 08:44:56 +0000 2025,nurhali20364872,"@anakodok2009 @tempodotco Udah kalah debat gatau mau ngomong apa ya? Soalnya hati lu busuk , udah jelas jelas kemakan media kontol tempo",0,0,0,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 08:42:17 +0000 2025,nurhali20364872,@Sndykurniawan @Ryandisajja @tempodotco Gaskan bosku https://t.co/s7rgKhSRxp,0,0,1,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 07:43:21 +0000 2025,longway2kampung,"@simple_outfittt @tempodotco dilanjutkan? 
ogah banget.

cwih..",0,0,0,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 07:30:48 +0000 2025,spicynfreak,@tempodotco AKU KAN DAH KATE,0,0,0,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 07:21:15 +0000 2025,nurhali20364872,"@sagitarommy @Jinaka10 @tempodotco Emg lu bisa adu argumentasi? Sini gw jabanin gausah banyak omong kosong, ini malah adu followers wkwk sinting",0,0,1,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 07:20:54 +0000 2025,PanitiaMbg,"@heroekoe @Dandhy_Laksono @tempodotco @jokowi Mudah2an aja ngga, gila aja kalau kejadian beneran",0,0,0,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 07:20:11 +0000 2025,nurhali20364872,"@sagitarommy @Jinaka10 @tempodotco Emg gw siapa ? Keliatan kocak bahasa lu , sok keliatan",0,0,0,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 07:19:04 +0000 2025,nurhali20364872,@anakodok2009 @tempodotco https://t.co/ivP6A0B2OU,0,0,0,0,0,qme,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 07:18:42 +0000 2025,nurhali20364872,@anakodok2009 @tempodotco https://t.co/6Osi9ZKksX,0,0,0,0,0,qme,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 07:18:22 +0000 2025,nurhali20364872,@anakodok2009 @tempodotco https://t.co/3rPh3Sdbcr,0,0,0,0,0,qme,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 07:17:52 +0000 2025,nurhali20364872,@anakodok2009 @tempodotco https://t.co/BJOPaSKYDs,0,0,0,0,0,qme,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 07:17:45 +0000 2025,nurhali20364872,@anakodok2009 @tempodotco https://t.co/BwvBzU3o2W,0,0,0,0,0,qme,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 06:50:55 +0000 2025,Roni34ndri,"@RheaZahiya @tempodotco Coba @gibran_tweet tanyain ke bapakmu skrg investor itu pada kemana... 

Tolong lu jgn ikut²an ndabrus yah bran, pake brain dlm ambil keputusan, semua utk kemaslahatan rakyat, itu yg hrs lo inget. BUKAN utk pribadi/golongan t³.",2,0,1,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 06:48:52 +0000 2025,lantaninja,"@tempodotco 🤣🤣 anaknya buang ke sono, trus bapaknya diproses krn merugikan negara, berani ga lu wo..??",0,0,0,0,0,in,,,,,,,,,,
